,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Sean Klaiber FC Utrecht,27, D(R),M(CR),2,180,4.0,4.0,0.5,-,2.5,-,-,-,8.04
1,Dusan Tadic Ajax,32, AM(CLR),FW,31(3),2612,0.9,0.4,0.7,-,0.3,0.4,-,-,7.87
2,Sébastien Haller Ajax,27, FW,,18(1),1570,1.2,0.4,1.4,-,0.9,0.9,0.1,-,7.69
3,Steven Berghuis Feyenoord,29, AM(CR),FW,30(1),2646,0.8,0.5,0.5,-,0.2,1.1,-,-,7.66
4,Oussama Tannane Vitesse,27, AM(CLR),FW,29,2415,0.9,0.2,1.7,-,0.1,1,0.1,-,7.57
5,Adam Maher FC Utrecht,28, M(CR),,25,2181,2.8,1.8,1.8,-,1.4,1,0.4,-,7.56
6,Gregoire Amiot Fortuna Sittard,26, D(C),,0(1),85,3.0,1.0,1.0,-,4.0,1,2,-,7.44
7,Joey Veerman SC Heerenveen,22, M(CL),,30(1),2705,1.9,1.1,0.7,-,1.1,1.6,0.2,-,7.4
8,Donyell Malen PSV Eindhoven,22, AM(L),FW,26(6),2455,0.2,0.3,0.3,-,0.3,0.3,-,-,7.4
9,Teun Koopmeiners AZ Alkmaar,23, D(C),DMC,31,2705,2.7,1.4,1.0,0.1,1.5,1.1,0.4,-,7.39
10,Ajdin Hrustic FC Groningen,25, M(CLR),,1,83,4.0,-,1.0,-,-,-,-,-,7.38
11,Ibrahim Sangaré PSV Eindhoven,23, DMC,,25(4),2281,3.5,2.1,1.4,-,1.6,0.8,0.3,-,7.36
12,Giorgos Giakoumakis VVV-Venlo,26, FW,,30,2591,0.6,0.3,1.7,-,1.7,0.3,0.5,-,7.3
13,Ryan Gravenberch Ajax,19, DMC,,31(1),2618,1.3,1.4,1.1,-,0.6,0.9,0.1,-,7.29
14,Mario Götze PSV Eindhoven,29, M(CLR),FW,17(1),1411,1.5,1.2,0.4,-,0.2,1.3,-,-,7.29
15,Calvin Stengs AZ Alkmaar,22, AM(CR),,30,2609,1.6,0.6,0.9,-,0.4,1,0.1,-,7.28
16,Jesper Karlsson AZ Alkmaar,23, AM(LR),FW,31(1),2469,0.5,0.5,0.3,-,0.2,0.8,-,-,7.28
17,Vaclav Cerny Twente,24, AM(R),,16,1198,1.3,0.4,0.8,-,0.4,1.6,-,-,7.28
18,Davy Klaassen Ajax,28, M(CL),,27(2),2210,1.2,0.6,1.2,-,0.6,1,0.1,-,7.27
19,Cody Gakpo PSV Eindhoven,22, AM(CL),FW,22(1),1677,0.9,0.4,0.9,-,0.4,0.3,-,-,7.25
20,Abdou Harroui Sparta Rotterdam,23, DMC,M(R),32,2775,3.1,1.0,1.1,-,0.6,1.5,0.2,-,7.24
21,Gyrano Kerk FC Utrecht,25, AM(LR),FW,33(1),2927,0.7,0.6,1.6,-,0.1,0.6,0.1,-,7.21
22,Vangelis Pavlidis Willem II,22, AM(L),FW,33(1),2934,1.1,0.4,0.8,-,1.1,0.9,0.1,-,7.21
23,Marcos Senesi Feyenoord,24, D(C),,32,2880,2.5,2.4,1.4,0.6,3.7,1.1,0.7,1,7.2
24,Fredrik Midtsjø AZ Alkmaar,28, M(CR),,31,2727,2.0,2.0,1.1,0.1,0.9,1.5,0.2,-,7.18
25,Silvester van der Water Heracles,25, AM(R),,14(4),1205,1.2,1.0,0.7,-,0.2,0.7,0.1,-,7.18
26,Philipp Max PSV Eindhoven,28, D(L),M(L),29(2),2597,1.9,0.8,0.6,0.1,1.1,1.3,-,-,7.16
27,Nicolás Tagliafico Ajax,29, D(CL),,25,2010,2.0,1.9,1.5,0.2,1.2,1.0,0.1,-,7.16
28,Jacob Rasmussen Vitesse,24, D(C),DMC,28,2476,1.8,2.1,0.5,0.5,3.4,0.4,0.6,-,7.16
29,Jens Toornstra Feyenoord,32, M(CLR),,30(1),2670,1.1,1.3,0.5,0.1,0.6,1.2,0.3,-,7.15
30,Eran Zahavi PSV Eindhoven,34, AM(CL),FW,24(1),1999,0.8,0.4,0.8,-,0.3,0.5,-,-,7.14
31,Rai Vloet Heracles,26, AM(C),FW,33,2755,1.1,0.3,0.9,-,1,0.8,-,-,7.14
32,Olivier Boscagli PSV Eindhoven,23, D(CL),DMC,29(1),2562,1.4,2.8,0.7,0.1,2.6,0.9,0.4,-,7.14
33,Zian Flemming Fortuna Sittard,23, AM(C),FW,33,2952,1,0.6,1.5,-,1.7,0.8,0.2,-,7.14
34,Antony Ajax,21, AM(R),,24(8),1774,0.7,0.2,0.4,-,0.1,0.6,-,-,7.13
35,Denzel Dumfries PSV Eindhoven,25, D(R),M(R),27(3),2469,1.5,1.6,1.5,0.1,1.8,0.8,0.3,-,7.12
36,Maximiliano Romero PSV Eindhoven,22, FW,,0(1),1,-,-,-,-,-,-,-,-,7.12
37,Lennart Thy Sparta Rotterdam,29, AM(C),FW,34,2799,0.5,0.2,0.4,-,0.6,0.4,-,-,7.11
38,Henk Veerman SC Heerenveen,30, FW,,29(2),2637,0.5,0.1,0.8,-,1.8,0.5,0.2,-,7.11
39,Gabriel Gudmundsson FC Groningen,22, D(L),M(LR),20(3),1646,2.2,0.7,1.2,0.1,1.6,1.3,-,-,7.11
40,Myron Boadu AZ Alkmaar,20, FW,,28(3),2530,0.5,0.1,0.9,-,0.2,0.4,0.1,-,7.1
41,Sergio Peña FC Emmen,26, AM(CL),FW,32,2803,1.8,0.7,1.0,-,0.4,1.6,0.1,-,7.1
42,Lisandro Martínez Ajax,23, D(CL),DMC,17(9),1750,1.2,1.1,0.8,0.3,1.9,0.3,0.4,-,7.1
43,Daley Blind Ajax,31, D(CL),DMC,23,1964,1.2,1.5,0.7,0.7,1.2,0.8,0.4,-,7.09
44,Sander van de Streek FC Utrecht,28, AM(CL),FW,27(5),2462,1.7,0.7,0.8,-,0.8,1.2,0.2,-,7.09
45,Owen Wijndal AZ Alkmaar,21, D(L),,34,3060,1.8,1.7,0.5,0.2,1.6,0.6,0.2,-,7.08
46,Noussair Mazraoui Ajax,24, D(R),,16(3),1216,1.8,1.5,0.6,-,1.0,0.5,0.2,-,7.08
47,Kenneth Paal PEC Zwolle,24, D(L),,25(2),2272,1.9,1.8,0.9,0.2,2.3,0.8,0.2,-,7.07
48,Eric Botteghin Feyenoord,34, D(C),,18(5),1655,1.5,2.1,0.9,0.3,3.0,0.6,0.6,-,7.07
49,Virgil Misidjan PEC Zwolle,28, AM(LR),,13(2),1072,1.2,0.6,1.1,-,0.1,0.5,-,-,7.07
50,Pawel Bochniewicz SC Heerenveen,25, D(C),,30(1),2643,1.9,2.0,0.9,0.3,5.4,0.7,0.7,-,7.06
51,Edson Álvarez Ajax,24, D(C),DMC,18(6),1551,1.8,1.4,1.3,-,1.2,1.2,0.2,-,7.04
52,Mickael Tirpan Fortuna Sittard,28, D(R),DMC,11(1),988,1.3,2.9,0.6,0.8,3.1,0.6,0.4,-,7.02
53,Lutsharel Geertruida Feyenoord,21, D(R),,25(5),2254,2.7,0.8,0.8,0.1,1.5,0.6,0.2,-,7.02
54,Ahmed El Messaoudi FC Groningen,26, M(CR),,25(3),2226,1.1,1.1,1.7,-,0.5,0.6,0.1,-,7.01
55,Lassina Traoré Ajax,20, FW,,7(5),555,0.2,0.1,1,-,0.3,0.3,-,-,7.0
56,Jonathan Mulder ADO Den Haag,19, Defender,,0(1),45,2.0,1.0,-,-,5.0,-,-,-,7.0
57,Riechedly Bazoer Vitesse,25, D(C),DMC,29,2457,1.1,1.5,0.9,0.1,1.2,0.6,0.6,-,6.98
58,Albert Gudmundsson AZ Alkmaar,24, AM(CLR),FW,25(1),1977,0.8,0.6,0.6,-,0.1,1.1,-,1,6.97
59,Jurriën Timber Ajax,20, D(CR),,16(4),1509,1.7,1.5,0.5,0.4,1.7,0.5,0.4,-,6.97
60,Kostas Lamprou RKC Waalwijk,30, GK,,34,3060,0.1,-,-,-,0.6,0.1,-,-,6.97
61,George Cox Fortuna Sittard,23, D(L),,32(1),2825,1.8,2.4,0.6,0.4,2.3,0.7,0.3,-,6.97
62,André Onana Ajax,25, GK,,20,1800,-,-,-,-,0.4,-,-,-,6.97
63,Klaas Jan Huntelaar Ajax,38, FW,,3(8),386,0.3,0.1,0.1,-,0.1,0.3,-,-,6.96
64,Sean Klaiber Ajax,27, D(R),M(CR),6(9),754,1.4,1.3,0.7,0.1,0.5,0.5,0.1,-,6.96
65,Bart Nieuwkoop Feyenoord,25, D(R),M(R),12(3),1028,2.7,2.4,0.9,-,1.5,0.9,0.1,-,6.96
66,Jan Paul van Hecke SC Heerenveen,21, D(C),,26(2),2324,1.8,2,1.2,0.6,3.6,0.5,1.1,-,6.96
67,Tommy St. Jago FC Utrecht,21, D(C),,23(1),2057,1.9,1.3,0.8,0.3,3.2,0.5,1,-,6.95
68,Devyne Rensch Ajax,18, D(R),,12(6),897,1.9,1.6,0.6,0.1,0.8,0.7,0.1,-,6.95
69,Mike Trésor Willem II,22, AM(CL),,28(6),2434,1.2,0.7,0.5,-,0.3,0.6,-,-,6.94
70,Ko Itakura FC Groningen,24, D(C),,34,3060,1.4,2.0,0.7,1,4.2,0.3,0.6,1,6.94
71,Azor Matusiwa FC Groningen,23, DMC,,21(1),1729,2.2,2.7,0.8,0.3,1.0,0.7,0.5,-,6.93
72,Maarten Stekelenburg Ajax,39, GK,,12,1080,-,0.2,-,-,0.6,-,-,-,6.93
73,Luis Sinisterra Feyenoord,22, AM(L),FW,13(7),1214,0.9,0.4,0.7,-,0.6,1,-,-,6.92
74,Dirk Abels Sparta Rotterdam,24, D(R),,28(3),2509,2.1,1.8,0.5,0.1,2.5,1.2,0.4,-,6.92
75,Queensy Menig Twente,26, AM(LR),FW,31(1),2604,1.3,0.5,0.8,-,0.1,1,-,-,6.92
76,Jørgen Strand Larsen FC Groningen,21, FW,,28(2),2312,0.3,0.2,1.3,-,1.0,0.6,-,-,6.91
77,Maximilian Wittek Vitesse,26, D(L),M(LR),32,2735,2.8,1.2,0.9,0.1,1.2,1.8,0.2,-,6.91
78,Ridgeciano Haps Feyenoord,28, D(L),M(L),13(8),1270,1,1.2,0.5,-,0.8,0.5,-,1,6.91
79,Jonas Svensson AZ Alkmaar,28, D(R),DMC,17(1),1414,1.5,1.2,0.9,0.2,1.5,0.8,0.1,-,6.9
80,Laros Duarte Sparta Rotterdam,24, DMC,,10(7),985,1.5,0.7,0.8,-,0.9,1.0,-,-,6.9
81,Eli Dasa Vitesse,28, D(R),M(R),30,2669,1.9,1.6,0.6,0.1,1.3,0.9,0.2,-,6.9
82,Miguel Araujo FC Emmen,27, D(C),,33,2962,1.8,1.8,0.4,0.5,4.2,0.5,1.1,-,6.89
83,Mohammed Kudus Ajax,21, DMC,,8(9),800,1.2,0.4,0.9,-,0.1,1.2,-,-,6.89
84,Django Warmerdam FC Utrecht,26, D(L),M(CL),33,2898,2.5,1.6,0.5,0.1,1.2,0.7,0.3,-,6.89
85,Robin Pröpper Heracles,28, D(C),DMC,30,2661,1.2,1.4,1.2,0.3,3.4,0.7,0.9,-,6.89
86,Noni Madueke PSV Eindhoven,19, AM(R),FW,7(17),960,0.3,0.1,0.3,-,0.1,0.3,-,-,6.89
87,Benson Manuel PEC Zwolle,24, AM(LR),,9(4),806,1.2,0.2,0.4,-,0.2,0.7,0.1,-,6.89
88,Xandro Schenk Twente,28, D(CL),,3,270,1.0,1.3,0.7,1,4.7,0.7,0.3,-,6.89
89,Milan van Ewijk ADO Den Haag,21, D(R),,33,2919,3.4,1.8,0.9,0.2,3.2,0.9,0.8,-,6.89
90,Ahmed Touba RKC Waalwijk,23, D(C),,32,2877,1.2,2.1,1.0,0.7,3.7,0.6,0.8,-,6.89
91,Jordy Clasie AZ Alkmaar,30, D(C),DMC,4(4),391,1.1,0.6,0.3,-,1.5,0.5,0.3,-,6.89
92,Bart van Hintum FC Groningen,34, D(CL),,29(2),2514,1.5,1.9,0.7,0.2,2.5,1.1,0.8,-,6.89
93,Willem Janssen FC Utrecht,35, D(C),M(C),20(2),1709,1.1,2.0,0.9,0.2,2.6,0.1,0.8,-,6.88
94,David Neres Ajax,24, AM(CLR),,10(15),1165,0.8,0.4,0.3,-,-,0.7,0.1,-,6.88
95,Ryan Thomas PSV Eindhoven,26, M(CL),,11(5),903,1.4,1.3,0.4,-,0.8,0.9,0.1,-,6.88
96,Bart Vriends Sparta Rotterdam,30, D(C),,23,2020,1.7,2.0,1.0,0.7,4.3,0.8,0.6,-,6.87
97,Quincy Promes Ajax,29, M(CLR),FW,10(9),1020,0.7,0.2,0.2,-,0.1,0.3,0.1,-,6.87
