,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Sean Klaiber FC Utrecht,27, D(R),M(CR),2,180,-,1,65.0,83.1,1.5,2.0,-,8.04
1,Dusan Tadic Ajax,32, AM(CLR),FW,31(3),2612,17,3.8,33.7,76.4,3,0.9,0.1,7.87
2,Sébastien Haller Ajax,27, FW,,18(1),1570,5,1.2,28.0,72.9,0.1,0.4,-,7.69
3,Steven Berghuis Feyenoord,29, AM(CR),FW,30(1),2646,12,2.9,51.0,81.0,1.9,4.8,0.1,7.66
4,Oussama Tannane Vitesse,27, AM(CLR),FW,29,2415,9,3.2,43.4,72.4,2.5,3.0,-,7.57
5,Adam Maher FC Utrecht,28, M(CR),,25,2181,4,2.5,61.8,79.9,2,4.9,0.1,7.56
6,Gregoire Amiot Fortuna Sittard,26, D(C),,0(1),85,-,-,32.0,90.6,-,2.0,-,7.44
7,Joey Veerman SC Heerenveen,22, M(CL),,30(1),2705,10,1.9,53.7,75.3,0.9,6.5,-,7.4
8,Donyell Malen PSV Eindhoven,22, AM(L),FW,26(6),2455,8,1.1,24.4,79.6,0.3,0.6,0.1,7.4
9,Teun Koopmeiners AZ Alkmaar,23, D(C),DMC,31,2705,5,1.1,68.8,84.7,0.5,5.1,-,7.39
10,Ajdin Hrustic FC Groningen,25, M(CLR),,1,83,-,1.0,35.0,85.7,3.0,7.0,-,7.38
11,Ibrahim Sangaré PSV Eindhoven,23, DMC,,25(4),2281,1,0.7,65.2,85.8,0.1,3.0,-,7.36
12,Giorgos Giakoumakis VVV-Venlo,26, FW,,30,2591,1,0.5,20.8,63.1,0.2,0.3,-,7.3
13,Ryan Gravenberch Ajax,19, DMC,,31(1),2618,5,1.2,68.4,87.2,0.5,2.4,-,7.29
14,Mario Götze PSV Eindhoven,29, M(CLR),FW,17(1),1411,6,1.4,59.6,85.1,0.3,2.1,0.1,7.29
15,Calvin Stengs AZ Alkmaar,22, AM(CR),,30,2609,5,1.9,38.6,78.9,0.4,2.4,0.3,7.28
16,Jesper Karlsson AZ Alkmaar,23, AM(LR),FW,31(1),2469,9,1.5,25.0,79.3,1.2,0.9,-,7.28
17,Vaclav Cerny Twente,24, AM(R),,16,1198,6,1.8,27.4,71.8,0.9,1.3,0.1,7.28
18,Davy Klaassen Ajax,28, M(CL),,27(2),2210,3,1.1,41.6,85.1,0.2,1.3,0.1,7.27
19,Cody Gakpo PSV Eindhoven,22, AM(CL),FW,22(1),1677,3,1.3,26.8,74.2,0.4,0.5,0.1,7.25
20,Abdou Harroui Sparta Rotterdam,23, DMC,M(R),32,2775,2,1.2,42.8,82.4,0.5,3.7,-,7.24
21,Gyrano Kerk FC Utrecht,25, AM(LR),FW,33(1),2927,4,1.5,17.1,66.8,0.7,0.2,0.1,7.21
22,Vangelis Pavlidis Willem II,22, AM(L),FW,33(1),2934,4,1.1,28.5,66.9,0.1,1.3,-,7.21
23,Marcos Senesi Feyenoord,24, D(C),,32,2880,2,0.4,65.9,84.3,0.1,5.0,-,7.2
24,Fredrik Midtsjø AZ Alkmaar,28, M(CR),,31,2727,5,1.1,54.2,81.4,0.3,3.3,-,7.18
25,Silvester van der Water Heracles,25, AM(R),,14(4),1205,4,1.7,21.6,75.3,1.7,2.1,0.1,7.18
26,Philipp Max PSV Eindhoven,28, D(L),M(L),29(2),2597,8,2.0,50.9,85.8,2.2,1.0,-,7.16
27,Nicolás Tagliafico Ajax,29, D(CL),,25,2010,3,1.1,48.7,82.7,0.7,1.2,0.1,7.16
28,Jacob Rasmussen Vitesse,24, D(C),DMC,28,2476,-,0.3,55.9,85.4,-,4.1,-,7.16
29,Jens Toornstra Feyenoord,32, M(CLR),,30(1),2670,2,1.4,56.4,82.0,0.4,4.4,0.1,7.15
30,Eran Zahavi PSV Eindhoven,34, AM(CL),FW,24(1),1999,3,1.1,26.2,73.9,-,0.7,0.2,7.14
31,Rai Vloet Heracles,26, AM(C),FW,33,2755,7,1.5,34.8,78.4,0.6,2.8,0.2,7.14
32,Olivier Boscagli PSV Eindhoven,23, D(CL),DMC,29(1),2562,2,0.3,81.4,83,-,7.6,-,7.14
33,Zian Flemming Fortuna Sittard,23, AM(C),FW,33,2952,7,0.8,23.4,69.3,0.1,0.8,-,7.14
34,Antony Ajax,21, AM(R),,24(8),1774,8,1.1,26.8,80.3,0.9,0.8,-,7.13
35,Denzel Dumfries PSV Eindhoven,25, D(R),M(R),27(3),2469,6,1.4,43.0,77.5,0.2,1.3,-,7.12
36,Maximiliano Romero PSV Eindhoven,22, FW,,0(1),1,-,-,2.0,-,-,-,-,7.12
37,Lennart Thy Sparta Rotterdam,29, AM(C),FW,34,2799,3,1.4,27.4,63.2,0.2,0.7,-,7.11
38,Henk Veerman SC Heerenveen,30, FW,,29(2),2637,5,1,21.8,60.9,0.1,0.4,-,7.11
39,Gabriel Gudmundsson FC Groningen,22, D(L),M(LR),20(3),1646,5,0.8,24.0,73,0.9,1.3,-,7.11
40,Myron Boadu AZ Alkmaar,20, FW,,28(3),2530,1,1.1,18.5,78.2,-,0.4,-,7.1
41,Sergio Peña FC Emmen,26, AM(CL),FW,32,2803,3,2.0,64.4,82.2,1.3,5.0,0.2,7.1
42,Lisandro Martínez Ajax,23, D(CL),DMC,17(9),1750,1,0.4,61.6,88.5,-,3.2,-,7.1
43,Daley Blind Ajax,31, D(CL),DMC,23,1964,1,0.9,82.3,86.6,0.3,5.6,0.1,7.09
44,Sander van de Streek FC Utrecht,28, AM(CL),FW,27(5),2462,5,0.8,24.9,66.7,-,1.1,-,7.09
45,Owen Wijndal AZ Alkmaar,21, D(L),,34,3060,6,1.4,47.7,86.4,0.6,1.4,0.1,7.08
46,Noussair Mazraoui Ajax,24, D(R),,16(3),1216,1,0.6,39.4,82.9,0.4,2.2,-,7.08
47,Kenneth Paal PEC Zwolle,24, D(L),,25(2),2272,1,1.8,47.4,83.3,1,1.5,-,7.07
48,Eric Botteghin Feyenoord,34, D(C),,18(5),1655,-,0.4,58.0,89.3,-,3.9,-,7.07
