,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,André Ferreira Santa Clara,25, GK,,1,90,-,-,-,-,1.0,-,-,-,8.21
1,Alex Telles Porto,28, D(L),M(L),3,259,2,1,1,0.3,1.0,0.3,-,-,7.81
2,Pote Sporting,23, M(C),,32,2735,1.5,0.8,1,-,0.2,1,0.1,-,7.49
3,Otávio Porto,26, AM(CLR),FW,24(2),2128,2,0.8,1.7,-,0.3,1.5,0.1,-,7.4
4,Nanu Maritimo,27, D(R),M(LR),3,270,1.3,1.7,2,-,1.3,0.3,-,-,7.34
5,Rafa Benfica,28, AM(CLR),FW,27(2),2192,1.3,0.8,1.2,-,0.2,1.1,0.1,-,7.34
6,Iuri Medeiros Braga,27, AM(CR),FW,11(4),956,1,0.6,0.5,-,0.1,0.8,0.1,-,7.28
7,Sebastián Coates Sporting,31, D(C),,33,2970,1.3,1.5,0.9,1,2.8,0.5,0.5,-,7.26
8,Mehdi Taremi Porto,29, FW,,26(8),2227,0.6,0.3,1,-,0.3,0.3,0.1,-,7.25
9,Nuno Mendes Sporting,19, D(L),M(L),29,2401,1.7,2.1,1,0.4,1.1,0.7,0.1,-,7.25
10,Thiago Santana Santa Clara,28, FW,,9,762,0.6,0.1,1.1,-,0.8,0.2,0.1,-,7.24
11,Sérgio Oliveira Porto,29, DMC,,28(4),2388,1.7,0.6,1.3,-,0.4,1.2,-,-,7.21
12,João Palhinha Sporting,26, DMC,,28(4),2504,3.3,1.5,2.5,0.1,1.2,1.2,0.1,-,7.21
13,Haris Seferovic Benfica,29, AM(LR),FW,24(7),2266,0.1,0.1,1.1,-,0.7,0.3,-,-,7.2
14,Carlos Junior Santa Clara,26, AM(LR),FW,31(1),2753,1.8,0.8,1.7,-,1.6,1.2,0.1,1,7.2
15,Ryan Gauld Farense,25, AM(CL),,33,2869,1.8,0.9,1.6,-,0.4,1.3,0.2,-,7.19
16,Éverton Benfica,25, AM(CLR),FW,24(8),1980,0.9,0.5,0.9,-,0.4,0.7,-,-,7.19
17,Alejandro Grimaldo Benfica,26, D(L),M(L),27(4),2468,1.3,0.9,0.5,0.2,0.8,0.8,0.1,-,7.18
18,Pedro Porro Sporting,22, D(R),M(R),30,2509,1.5,1.3,1.4,0.1,1.0,0.8,0.1,-,7.17
19,Lucas Veríssimo Benfica,26, D(CR),,14,1136,1.4,1.8,1.3,0.6,2.4,0.3,0.6,-,7.15
20,André Almeida Benfica,31, D(LR),DMC,4,283,1,2,1.3,0.3,0.8,0.8,-,-,7.13
21,Ivo Rodrigues Famalicao,26, AM(LR),,12(2),1043,1.5,0.9,1.5,-,0.8,1.0,0.2,-,7.12
22,Wendel Sporting,24, M(CL),,1,90,-,2,1.0,-,-,3.0,-,-,7.12
23,Paulinho Braga,29, FW,,12,1061,0.4,0.3,2.1,-,0.8,0.3,0.1,-,7.08
24,Jesús Corona Porto,28, D(R),M(CLR),27(3),2235,0.8,1,1.4,-,0.4,0.4,-,-,7.07
25,Adel Taarabt Benfica,32, M(CL),FW,19(7),1646,1,0.9,1.7,-,0.1,1.1,-,-,7.04
26,Galeno Braga,24, M(LR),,29(4),2488,0.8,1.2,0.7,-,0.6,0.9,-,-,7.02
27,Rúben Dias Benfica,24, D(C),,2,180,0.5,-,1.5,1,0.5,0.5,-,-,7.02
