,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,André Ferreira Santa Clara,25, GK,,1,90,-,-,24.0,62.5,-,10.0,-,8.21
1,Alex Telles Porto,28, D(L),M(L),3,259,2,1.7,46.3,79.1,3,1.0,-,7.81
2,Pote Sporting,23, M(C),,32,2735,3,1.6,30.1,75.9,0.6,1.3,0.1,7.49
3,Otávio Porto,26, AM(CLR),FW,24(2),2128,8,1.7,54.4,80.6,0.8,2.8,0.2,7.4
4,Nanu Maritimo,27, D(R),M(LR),3,270,-,0.7,24.7,74.3,1.7,0.3,-,7.34
5,Rafa Benfica,28, AM(CLR),FW,27(2),2192,5,1.5,33.0,81.1,0.4,0.6,-,7.34
6,Iuri Medeiros Braga,27, AM(CR),FW,11(4),956,2,1.4,23.3,79.9,1.4,2.0,-,7.28
7,Sebastián Coates Sporting,31, D(C),,33,2970,-,0.3,54.8,83.6,-,4.2,0.1,7.26
8,Mehdi Taremi Porto,29, FW,,26(8),2227,11,1.1,15.5,72.1,0.1,0.2,0.1,7.25
9,Nuno Mendes Sporting,19, D(L),M(L),29,2401,1,1.1,37.1,79.3,1.4,1.6,-,7.25
10,Thiago Santana Santa Clara,28, FW,,9,762,-,0.8,11.2,65.3,0.2,1.2,-,7.24
11,Sérgio Oliveira Porto,29, DMC,,28(4),2388,5,1.5,46.7,81.1,1.3,3.1,0.1,7.21
12,João Palhinha Sporting,26, DMC,,28(4),2504,-,0.4,41.0,83.4,-,2.5,-,7.21
13,Haris Seferovic Benfica,29, AM(LR),FW,24(7),2266,7,0.7,16.8,67.3,0.1,0.3,0.1,7.2
14,Carlos Junior Santa Clara,26, AM(LR),FW,31(1),2753,4,0.5,18.8,68.8,0.2,0.3,-,7.2
15,Ryan Gauld Farense,25, AM(CL),,33,2869,7,2.3,22.2,68.1,1.8,0.9,0.1,7.19
16,Éverton Benfica,25, AM(CLR),FW,24(8),1980,8,1.3,25.9,83.7,0.7,0.8,0.1,7.19
17,Alejandro Grimaldo Benfica,26, D(L),M(L),27(4),2468,9,1.5,49.4,84.0,1.1,1.1,0.1,7.18
18,Pedro Porro Sporting,22, D(R),M(R),30,2509,3,1.7,39.1,71.7,1.7,2.8,-,7.17
19,Lucas Veríssimo Benfica,26, D(CR),,14,1136,-,-,62.1,85.2,-,2.4,-,7.15
20,André Almeida Benfica,31, D(LR),DMC,4,283,1,1.8,47.0,86.2,0.8,1.3,-,7.13
21,Ivo Rodrigues Famalicao,26, AM(LR),,12(2),1043,2,1,26.5,76.0,0.4,0.9,-,7.12
22,Wendel Sporting,24, M(CL),,1,90,-,1,60.0,96.7,-,3.0,-,7.12
23,Paulinho Braga,29, FW,,12,1061,4,1.3,22.7,70.6,0.3,1.1,0.3,7.08
24,Jesús Corona Porto,28, D(R),M(CLR),27(3),2235,7,2.3,34.5,78.4,1.1,1.5,-,7.07
25,Adel Taarabt Benfica,32, M(CL),FW,19(7),1646,3,1.2,50.1,86.1,0.4,2.1,0.1,7.04
26,Galeno Braga,24, M(LR),,29(4),2488,3,1.5,28.9,75.9,0.6,1.7,-,7.02
27,Rúben Dias Benfica,24, D(C),,2,180,-,-,68.0,91.9,-,2.0,-,7.02
28,Paulinho Sporting,29, FW,,13(1),1073,2,1,18.6,75.9,0.1,0.7,-,7.02
29,Mateus Uribe Porto,30, DMC,,30(1),2556,1,0.5,51.4,86.1,0.2,2.9,0.1,7.01
30,Joao Ferreira Benfica,20, Defender,,1,90,-,1,50.0,78.0,1,3.0,-,7.01
31,Carlos Mané Rio Ave,27, AM(LR),FW,27(5),2367,2,1.2,22.6,76.4,0.8,0.8,-,7.0
32,Pedro Amador Moreirense,22, D(L),,4,334,-,1,34.8,76.3,0.8,3.5,-,6.99
33,Matous Trmal Vitoria de Guimaraes,23, GK,,3,270,-,-,30.0,56.7,-,5.0,-,6.99
