,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
0,8.36,Alex Bono Toronto,27, GK,2,180,-,-,-,-,0.5,1.0,-,-,-
1,8.0,Ike Opara Minnesota United,32, D(C),2,180,2,-,1,-,1.0,1.0,-,-,-
2,7.68,Ifunanyachi Achara Toronto,24, AM(L),1,90,1,-,2,1,2.0,1.0,1,2,6
3,7.61,Alan Pulido Kansas City,30, FW,8(1),695,5,2,2.9,0.8,2.1,2.3,0.3,1.9,3.1
4,7.52,Carlos Vela Los Angeles FC,32, M(CLR),4(3),423,4,1,3.1,2.1,2.4,1.1,0.1,1.7,2.4
5,7.52,Alejandro Pozuelo Toronto,30, M(CR),20,1759,9,4,2.3,2.9,2.6,1.4,0.1,2.7,2.7
6,7.5,Raúl Ruidíaz Seattle,31, FW,14,1159,11,3,3.2,1,1.0,0.8,0.6,0.6,1.7
7,7.49,Cristian Pavón L.A. Galaxy,25, AM(LR),18,1620,8,3,2.9,2.2,3.7,1.2,0.2,1.4,2.6
8,7.46,Emanuel Reynoso Minnesota United,26, AM(CL),9(4),828,1,6,1.7,2.6,2.2,2.5,-,2.1,2.2
9,7.44,Lewis Morgan Inter Miami CF,25, M(CR),20,1694,5,5,2.6,3.1,1.9,1.1,0.2,1.5,1.9
10,7.44,Kevin Molino Minnesota United,31, AM(CLR),13(3),1132,8,2,2.2,0.9,2.6,2.4,0.2,2,2.1
11,7.44,Johnny Russell Kansas City,31, AM(LR),15(3),1375,5,2,2.6,1.6,2.3,1.4,-,1.6,1.9
12,7.42,Franko Kovacevic FC Cincinnati,22, Forward,1,90,-,-,3,3,4,6,-,1,3
13,7.41,Nicolás Lodeiro Seattle,32, M(CLR),16,1422,6,4,2,2.6,0.9,2.9,0.1,1.6,2.2
14,7.37,Kacper Przybylko Philadelphia,28, FW,20,1706,7,5,2.4,1.5,0.5,1,0.8,0.8,1.8
15,7.36,Brad Knighton New England,36, GK,1,90,-,-,-,-,-,-,-,-,-
16,7.35,José Martínez Philadelphia,27, DMC,12,1006,-,2,1.4,0.3,2.3,1.4,-,1.1,1.4
17,7.34,Donovan Pines DC United,23, D(C),15(1),1353,3,-,0.9,0.1,0.4,0.7,0.1,0.2,0.9
18,7.32,Younes Namli Colorado,27, M(CLR),13(1),1020,2,3,1.6,1.3,3.8,1.3,-,0.8,1.1
19,7.32,Alberth Elis Houston,25, AM(LR),2(2),203,2,3,1.8,2,0.8,0.8,0.5,1.3,1.8
20,7.32,Pablo Piatti Toronto,32, M(CLR),13(1),1132,4,2,2.4,1.8,1.9,1.9,0.1,1.3,2.5
21,7.31,Diego Rossi Los Angeles FC,23, AM(CLR),16,1428,9,2,3.6,1.5,1.3,1,0.8,1.8,2.9
22,7.3,Robin Lod Minnesota United,28, AM(CLR),15(2),1342,7,3,2,1.4,1.8,0.4,0.1,1,1.3
23,7.3,Diego Valeri Portland,35, AM(CLR),16(3),1441,7,5,1.9,2.6,0.9,1,0.1,1.6,1.9
24,7.3,João Paulo Seattle,30, M(C),16(2),1412,2,2,0.9,1.3,1.4,1.1,-,0.8,1.1
25,7.29,Pedro Santos Columbus,33, D(L),20,1715,6,6,2.1,1.9,1,2,0.1,1.4,2.2
26,7.29,José Cifuentes Los Angeles FC,22, AM(C),13(2),1107,1,2,2,1.7,2.1,1,-,1.2,2.2
27,7.25,Darwin Quintero Houston,34, AM(CL),17(2),1455,6,5,2.7,2.9,2.1,1.2,0.4,1.9,2.8
28,7.24,Phelipe FC Dallas,22, GK,1,90,-,-,-,-,-,-,-,-,-
29,7.23,Jamiro Monteiro Philadelphia,27, M(C),19,1681,3,3,1.5,2.2,1.6,1.9,-,1.9,1.7
30,7.21,Hwang In-Beom Vancouver,25, M(C),2,180,-,-,0.5,2.5,1.0,1.5,-,2,2.0
31,7.2,Jordan Morris Seattle,27, AM(LR),15(3),1434,8,4,1.7,1.3,1.5,0.7,0.6,0.9,1.9
32,7.2,Aleksandar Katai L.A. Galaxy,30, AM(CLR),2,117,-,-,4.0,0.5,2.0,1.0,-,1,2.0
33,7.19,Andreu Fontàs Kansas City,32, D(C),3,270,1,-,0.3,-,0.7,0.7,-,-,0.3
