,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Alex Bono Toronto,27, GK,,2,180,-,-,30.0,38.3,-,9.0,-,8.36
1,Ike Opara Minnesota United,32, D(C),,2,180,-,-,25.5,84.3,-,3.5,-,8.0
2,Ifunanyachi Achara Toronto,24, AM(L),,1,90,-,1,29.0,86.2,-,3.0,-,7.68
3,Alan Pulido Kansas City,30, FW,,8(1),695,2,0.8,24.4,83.2,-,0.7,-,7.61
4,Carlos Vela Los Angeles FC,32, M(CLR),FW,4(3),423,1,2.1,24.4,80.7,1.1,1.1,-,7.52
5,Alejandro Pozuelo Toronto,30, M(CR),FW,20,1759,4,2.9,61.0,85.0,0.9,3.5,0.3,7.52
6,Raúl Ruidíaz Seattle,31, FW,,14,1159,3,1,19.9,87.5,-,0.6,0.1,7.5
7,Cristian Pavón L.A. Galaxy,25, AM(LR),FW,18,1620,3,2.2,35.2,73.9,1.4,2.1,0.1,7.49
8,Emanuel Reynoso Minnesota United,26, AM(CL),,9(4),828,6,2.6,35.0,80.2,1.8,1.3,0.1,7.46
9,Lewis Morgan Inter Miami CF,25, M(CR),,20,1694,5,3.1,24.8,74.4,3.4,1.3,-,7.44
10,Kevin Molino Minnesota United,31, AM(CLR),,13(3),1132,2,0.9,34.9,79.9,0.4,1.1,0.1,7.44
11,Johnny Russell Kansas City,31, AM(LR),FW,15(3),1375,2,1.6,26.8,72.0,0.9,2.3,0.1,7.44
12,Franko Kovacevic FC Cincinnati,22, Forward,,1,90,-,3,24.0,83.3,-,-,-,7.42
13,Nicolás Lodeiro Seattle,32, M(CLR),FW,16,1422,4,2.6,69.7,81.3,2.5,3.9,0.1,7.41
14,Kacper Przybylko Philadelphia,28, FW,,20,1706,5,1.5,26.4,75.9,0.2,0.5,0.1,7.37
15,Brad Knighton New England,36, GK,,1,90,-,-,27.0,59.3,-,9,-,7.36
16,José Martínez Philadelphia,27, DMC,,12,1006,2,0.3,44.7,83.4,0.1,5.3,0.1,7.35
17,Donovan Pines DC United,23, D(C),,15(1),1353,-,0.1,39.9,82.0,-,2.6,-,7.34
18,Younes Namli Colorado,27, M(CLR),,13(1),1020,3,1.3,34.7,84.2,0.4,2.6,-,7.32
