,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Harry Kane Tottenham,28, AM(C),FW,35,3087,0.6,0.3,0.7,-,1.1,0.5,0.3,-,7.79
1,Kevin De Bruyne Man City,30, M(CLR),FW,23(2),2001,1.4,0.4,1.1,-,0.3,1.4,-,-,7.65
2,Jack Grealish Aston Villa,26, AM(CL),,24(2),2184,1.2,0.5,1.5,-,0.2,0.3,0.1,-,7.56
3,Bruno Fernandes Man Utd,27, M(CLR),,35(2),3110,1.5,0.7,1.2,-,0.7,2.0,-,-,7.43
4,Tomas Soucek West Ham,26, DMC,,38,3420,2.1,1.6,1.8,0.1,2.7,1.3,0.5,1,7.36
5,Mason Mount Chelsea,22, M(CLR),,32(4),2892,2.1,0.9,1.4,-,0.3,1.2,0.1,-,7.33
6,Sadio Mané Liverpool,29, AM(CLR),FW,31(4),2813,1.4,0.4,1.5,-,0.3,0.6,-,-,7.33
7,Riyad Mahrez Man City,30, AM(CLR),,23(4),1955,0.7,0.3,0.5,-,0.1,0.9,-,-,7.31
8,João Cancelo Man City,27, D(LR),M(R),27(1),2302,2.4,1.5,1.3,0.3,1.0,1.4,0.1,-,7.31
9,Gareth Bale Tottenham,32, M(CLR),FW,10(10),923,0.9,0.4,0.5,0.1,0.7,0.4,0.1,-,7.3
10,Nathaniel Phillips Liverpool,24, D(C),,15(2),1456,1.3,1.2,1.2,0.5,4.8,0.8,0.8,-,7.29
11,Ilkay Gündogan Man City,31, M(C),,23(5),2031,0.9,0.7,0.3,-,0.3,1.0,0.1,-,7.29
12,Son Heung-Min Tottenham,29, M(CLR),FW,36(1),3127,0.9,0.4,0.4,-,0.1,1.5,0.1,-,7.27
13,Wilfred Ndidi Leicester,24, DMC,,25(1),2179,3.7,2.3,2.1,0.1,2,1.5,0.4,-,7.25
14,Jesse Lingard West Ham,28, AM(CLR),FW,16,1426,0.8,0.3,1.3,-,-,0.6,0.1,-,7.22
