,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Toni Sunjic Dinamo Moscow,32, D(C),,2,180,5.0,2.0,0.5,0.5,6.5,0.5,-,-,8.14
1,Artem Dzyuba Zenit,33, FW,,26(1),2255,0.2,0.2,0.9,-,0.4,0.1,-,-,7.64
2,Christian Noboa PFC Sochi,36, M(C),,25,2175,1.7,1.0,1.0,0.1,1.4,0.8,0.1,-,7.5
3,Douglas Santos Zenit,27, D(CL),DMC,28,2462,2.0,1.4,0.3,0.1,1.5,0.5,0.1,-,7.43
4,Aleksandr Silyanov Lokomotiv Moscow,20, Defender,,2,180,4.0,2.0,1.5,0.5,4.0,1.5,-,-,7.4
5,Oliver Abildgaard Rubin Kazan,25, DMC,,28,2501,2.0,2.9,1.6,-,2.4,0.6,0.8,-,7.36
6,Aleksey Miranchuk Lokomotiv Moscow,26, M(CR),FW,4,306,1.0,0.3,0.3,-,0.3,2.0,-,-,7.36
7,Alexander Sobolev Spartak Moscow,24, FW,,16(6),1521,0.4,0.2,1.3,-,0.5,0.2,-,-,7.34
8,Sardar Azmoun Zenit,26, FW,,21(3),1739,0.6,0.2,0.5,-,0.4,0.2,-,-,7.33
9,Nikola Vlasic CSKA Moscow,24, AM(CLR),FW,26,2261,0.7,0.3,1.2,-,0.1,0.6,-,-,7.32
10,Jordan Larsson Spartak Moscow,24, AM(CR),FW,29,2522,0.4,0.3,1.2,-,0.1,0.3,-,-,7.3
11,Khvicha Kvaratskhelia Rubin Kazan,20, AM(LR),,20(3),1751,1.3,0.7,0.8,-,0.2,0.6,-,-,7.25
12,Rémy Cabella FC Krasnodar,31, M(CLR),FW,19(5),1560,1.4,0.6,0.7,-,-,0.5,0.2,-,7.25
13,Murilo Cerqueira Lokomotiv Moscow,24, D(C),DMC,22,1980,1.3,1.2,1.3,1,5.2,0.2,0.8,-,7.25
14,Malcom Zenit,24, AM(CLR),,20(1),1621,0.6,0.1,0.7,-,0.1,0.6,-,-,7.24
