,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
0,8.14,Toni Sunjic Dinamo Moscow,32, D(C),2,180,1,-,0.5,0.5,-,1.0,-,-,1.0
1,7.64,Artem Dzyuba Zenit,33, FW,26(1),2255,20,6,2.6,2.2,0.5,0.8,0.9,1.5,2.4
2,7.5,Christian Noboa PFC Sochi,36, M(C),25,2175,12,7,2.6,2.1,0.9,1.0,0.1,1,1.6
3,7.43,Douglas Santos Zenit,27, D(CL),28,2462,3,7,1.1,2.3,0.6,0.5,0.1,0.8,1.2
4,7.4,Aleksandr Silyanov Lokomotiv Moscow,20, Defender,2,180,-,-,-,0.5,0.5,1.5,-,-,3.0
5,7.36,Oliver Abildgaard Rubin Kazan,25, DMC,28,2501,-,1,1.3,0.8,0.4,1.7,-,0.4,0.6
6,7.36,Aleksey Miranchuk Lokomotiv Moscow,26, M(CR),4,306,2,1,2.3,2.0,1.3,1.8,-,2.8,2.8
7,7.34,Alexander Sobolev Spartak Moscow,24, FW,16(6),1521,14,4,3.2,1.4,0.6,1.6,0.2,1.7,3.4
8,7.33,Sardar Azmoun Zenit,26, FW,21(3),1739,19,2,3.5,1.0,0.5,0.4,0.3,1,1.5
9,7.32,Nikola Vlasic CSKA Moscow,24, AM(CLR),26,2261,11,5,4,2.8,1.7,1.5,0.5,2,2.7
10,7.3,Jordan Larsson Spartak Moscow,24, AM(CR),29,2522,15,5,2.8,2,1,1.3,0.4,1.4,2.2
11,7.25,Khvicha Kvaratskhelia Rubin Kazan,20, AM(LR),20(3),1751,4,4,2.2,1.4,3.4,1.9,0.1,3.3,2.7
12,7.25,Rémy Cabella FC Krasnodar,31, M(CLR),19(5),1560,8,1,1.6,1.5,2.2,1.7,0.2,1.3,1.5
13,7.25,Murilo Cerqueira Lokomotiv Moscow,24, D(C),22,1980,4,-,0.8,0.4,0.3,0.3,-,0.3,0.4
14,7.24,Malcom Zenit,24, AM(CLR),20(1),1621,3,3,3,2,2.1,2.1,-,1.4,1.7
