,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Toni Sunjic Dinamo Moscow,32, D(C),,2,180,-,0.5,43.5,82.8,-,5.0,-,8.14
1,Artem Dzyuba Zenit,33, FW,,26(1),2255,6,2.2,26.8,70.2,0.1,0.6,-,7.64
2,Christian Noboa PFC Sochi,36, M(C),,25,2175,7,2.1,50.8,74.9,0.8,3.3,0.2,7.5
3,Douglas Santos Zenit,27, D(CL),DMC,28,2462,7,2.3,56.5,85.0,1.8,3.7,-,7.43
4,Aleksandr Silyanov Lokomotiv Moscow,20, Defender,,2,180,-,0.5,41.0,74.4,-,2.5,-,7.4
5,Oliver Abildgaard Rubin Kazan,25, DMC,,28,2501,1,0.8,46.0,75.7,-,3.4,-,7.36
6,Aleksey Miranchuk Lokomotiv Moscow,26, M(CR),FW,4,306,1,2.0,31.3,80.0,1.5,1.8,-,7.36
7,Alexander Sobolev Spartak Moscow,24, FW,,16(6),1521,4,1.4,19.8,66.0,0.1,0.6,-,7.34
8,Sardar Azmoun Zenit,26, FW,,21(3),1739,2,1.0,15.4,71.8,0.1,0.3,-,7.33
9,Nikola Vlasic CSKA Moscow,24, AM(CLR),FW,26,2261,5,2.8,42.7,80.9,0.9,1.0,-,7.32
10,Jordan Larsson Spartak Moscow,24, AM(CR),FW,29,2522,5,2,25.3,78.0,0.8,0.6,0.1,7.3
11,Khvicha Kvaratskhelia Rubin Kazan,20, AM(LR),,20(3),1751,4,1.4,21.1,76.5,0.3,1.3,-,7.25
12,Rémy Cabella FC Krasnodar,31, M(CLR),FW,19(5),1560,1,1.5,48.7,84.8,0.5,1.3,-,7.25
13,Murilo Cerqueira Lokomotiv Moscow,24, D(C),DMC,22,1980,-,0.4,56.0,86.4,-,4.4,-,7.25
14,Malcom Zenit,24, AM(CLR),,20(1),1621,3,2,39.3,84.7,0.6,1.9,-,7.24
15,Anton Zabolotny PFC Sochi,30, FW,,21(6),1964,4,0.9,19.5,63.1,0.1,0.3,-,7.23
16,Filip Dagerstål Khimki,24, D(CL),DMC,10,900,-,0.1,45.6,73.7,-,2.7,-,7.21
17,Mario Fernandes CSKA Moscow,31, D(R),M(R),23,1974,1,1.7,48.3,81.2,1,1.1,-,7.19
18,Grzegorz Krychowiak Lokomotiv Moscow,31, D(C),M(C),25(1),2261,3,0.8,58.4,82.8,0.1,3.7,-,7.18
19,Egor Baburin FC Krasnodar,28, GK,,2,180,-,-,25.0,56.0,-,8.5,-,7.18
20,Dmitrii Merenchukov FC Tambov,22, Forward,,2,175,1,3,18.0,69.4,0.5,1.5,-,7.16
21,Wendel Zenit,24, M(CL),,13(2),1114,3,1.4,54.9,89.6,0.4,2.7,-,7.16
22,Evgeni Gorodov FC Krasnodar,35, GK,,4,360,-,-,25.3,75.2,-,7.3,-,7.15
23,Pablo Lokomotiv Moscow,30, D(C),,10,900,-,0.2,60.5,88.6,-,4.6,-,7.15
24,Daler Kuzyaev Zenit,28, D(R),M(CLR),14(4),1274,2,1,38.3,87.2,0.2,1.3,-,7.15
25,Daniil Lesovoy Dinamo Moscow,23, AM(CL),,21(1),1748,3,2,26.3,71.1,0.6,1.0,-,7.14
26,Sebastian Szymanski Dinamo Moscow,22, AM(CR),,28,2329,5,2.8,38.1,77.7,1.5,2.6,-,7.12
27,Artur Yusupov PFC Sochi,32, M(CL),,22(1),1937,2,1.3,42.7,82.9,0.5,3.0,-,7.11
28,Ayrton Spartak Moscow,24, D(L),M(L),27,2327,1,1,35.5,76.5,1.1,1.9,-,7.1
29,Wanderson Maciel FC Krasnodar,27, AM(LR),,16(5),1459,3,1.2,29.6,77.0,1,0.8,-,7.1
30,Djorde Despotovic Rubin Kazan,29, FW,,21(5),1990,3,0.9,19.1,69.4,-,0.6,-,7.09
31,Denis Makarov Rubin Kazan,23, AM(R),,20(8),1943,1,1.1,16.5,60.7,0.5,1.5,-,7.09
32,Arsen Zakharyan Dinamo Moscow,18, AM(CLR),,10(3),889,3,1.7,31.5,76.8,0.9,1.3,-,7.09
33,Sergey Petrov FC Krasnodar,30, D(LR),M(C),9(1),796,1,1.5,47.7,86.8,0.4,1.2,-,7.08
34,Roman Zobnin Spartak Moscow,27, M(CLR),,28,2455,3,2,45.5,81.9,1.8,2.5,-,7.07
35,Vitaliy Sychev FC Tambov,21, Goalkeeper,,4,360,-,-,23.5,36.2,-,6.5,-,7.07
36,Chidera Ejuke CSKA Moscow,23, AM(LR),FW,18(7),1591,2,0.9,27.1,84.9,0.2,0.8,-,7.06
37,Denis Glushakov Khimki,34, M(C),,14(1),1243,1,1.1,38.3,74.6,0.8,2.1,-,7.06
38,Anton Kochenkov Lokomotiv Moscow,34, GK,,5(1),474,-,-,17.7,55.7,-,4.5,-,7.03
39,Maciej Rybus Lokomotiv Moscow,32, D(LR),M(LR),26,2340,1,0.9,48.5,83.2,1.1,2.8,-,7.03
40,Roman Evgenjev Dinamo Moscow,22, D(C),,27,2338,1,0.4,51.9,79.7,-,5.1,0.1,7.03
41,Maksim Osipenko FC Rostov,27, D(C),,28,2442,1,0.3,53.1,73.1,-,4.7,-,7.02
42,Samuel Gigot Spartak Moscow,28, D(C),,26,2307,-,0.3,53.6,84.9,0.1,3.6,-,7.02
43,Victor Moses Spartak Moscow,30, M(CLR),,18(1),1513,2,1.4,31.3,75.0,0.9,0.7,-,7.01
44,Rafal Augustyniak Ural,28, D(C),DMC,22(3),1932,-,0.5,47.5,83.4,0.2,4.5,-,7.0
45,Igor Diveev CSKA Moscow,22, D(C),,23,2070,2,0.2,55.5,84.0,-,6.0,-,6.99
46,Maksim Mukhin Lokomotiv Moscow,20, DMC,,8(2),715,-,-,32.2,83.2,0.1,2.4,-,6.99
47,Ivan Oblyakov CSKA Moscow,23, D(L),M(CL),23(4),2080,3,1.4,51.9,84.2,1,3.6,-,6.98
48,Quincy Promes Spartak Moscow,29, M(CLR),FW,10(1),895,2,1.9,37.5,79.9,1.4,0.6,-,6.97
49,Wilmar Barrios Zenit,28, DMC,,26,2194,1,0.6,59.4,88.3,-,4.2,-,6.97
50,Denys Kulakov Ural,35, D(R),,24(1),2156,3,1.6,44.2,79.7,2.2,2.0,-,6.97
51,Alex Král Spartak Moscow,23, DMC,,28(1),2401,5,1.0,56.0,81.0,0.3,2.1,-,6.97
52,Baktiyor Zainutdinov FC Rostov,23, D(L),M(CLR),4,336,-,1.8,28.0,78.6,1.5,0.5,-,6.97
