,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Paolo Guerrero Internacional,37, FW,,3,232,0.3,0.3,2.7,-,0.3,0.3,-,-,7.94
1,Flávio Bahia,25, M(C),,1,90,9,-,3,-,-,3,-,-,7.63
2,Marinho Santos FC,31, AM(CLR),FW,24(3),2148,1,0.4,1.4,-,0.1,0.9,-,-,7.54
3,Claudinho Red Bull Bragantino,24, AM(CL),FW,33(2),2853,1,1.1,0.9,-,0.1,1.5,-,-,7.5
4,Giorgian de Arrascaeta Flamengo,27, AM(CLR),FW,26(2),2219,1.5,0.2,0.6,-,0.2,1.2,0.1,-,7.47
5,Keno Atletico MG,32, AM(LR),FW,29(4),2564,1.2,0.5,1.1,-,0.1,0.8,-,-,7.46
6,Max Walef Fortaleza,28, Goalkeeper,,1,90,-,-,-,-,2,-,-,-,7.45
7,Luiz Fernando Botafogo RJ,25, AM(LR),,1(1),91,0.5,0.5,-,-,1.5,-,-,-,7.31
8,Bruno Henrique Flamengo,30, AM(CLR),FW,30(1),2587,0.9,0.5,1.9,-,1,0.5,-,-,7.28
9,Bruno Tubarão Red Bull Bragantino,26, Midfielder,,5,421,1.2,1.4,1.2,0.2,0.6,0.4,-,-,7.28
10,Vina Ceara,30, M(C),FW,30(1),2606,0.4,0.4,0.5,-,0.2,0.6,-,-,7.25
11,Diego Souza Gremio,36, AM(CL),FW,25,2001,0.5,0.2,1.2,-,1.0,0.2,-,-,7.25
12,Patrick Internacional,29, M(CL),,32(1),2624,2,0.8,1.3,-,0.4,1.6,0.2,-,7.24
13,Everton Ribeiro Flamengo,32, AM(CLR),,31(2),2650,1.5,1.2,1.2,-,0.1,1.6,0.2,-,7.24
14,Júlio César Gremio,35, GK,,1,90,-,-,-,-,3.0,-,-,-,7.21
15,Índio Ramírez Bahia,23, AM(C),,9,674,1,0.6,2.1,-,0.1,1.8,-,-,7.19
16,Luciano Sao Paulo,28, AM(CR),FW,29(2),2507,0.9,0.5,1.2,-,0.7,0.8,-,-,7.19
17,Filipe Luís Flamengo,36, D(L),,31,2736,2.6,1.8,1.5,0.3,0.9,0.6,0.3,1,7.18
18,Jean Pyerre Gremio,23, AM(C),,17(3),1476,0.8,0.5,0.6,-,0.2,0.8,0.1,-,7.17
19,Jemerson Corinthians,29, D(CR),DMC,7,625,1.1,2.7,1.7,1.4,3.4,-,0.3,-,7.15
20,Pepê Aquino Gremio,24, AM(L),,27(4),2431,0.5,0.8,0.4,-,0.2,0.6,-,-,7.15
21,Martinelli Fluminense,20, DMC,,11(2),964,1.8,1.8,0.8,-,0.5,0.8,0.4,-,7.14
