,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
0,8.19,Nick Marsman Feyenoord,31, GK,2,180,-,-,-,-,-,-,-,-,-
1,8.19,Hakim Ziyech Ajax,28, M(CLR),21,1619,6,12,4.2,3.7,2.6,1.1,0.3,1.8,2.3
2,8.05,Zakaria Labyad Ajax,28, AM(CLR),2,149,1,1,2,2.5,1,0.5,1,1,1.5
3,7.8,Steven Berghuis Feyenoord,29, AM(CR),24,2109,15,7,3.7,2.6,1.4,1,0.1,1.2,1.5
4,7.72,Dusan Tadic Ajax,32, AM(CLR),25,2172,11,14,2.5,3.6,1.2,0.8,0.4,2.5,2.3
5,7.7,Oussama Idrissi AZ Alkmaar,25, AM(LR),25,1980,13,3,2.7,1.8,3.4,1.1,0.6,1.4,2.6
6,7.6,Luis Sinisterra Feyenoord,22, AM(L),21,1627,5,4,1.7,1.3,3,1.4,0.4,2,2.4
7,7.59,Donyell Malen PSV Eindhoven,22, AM(L),14,1191,11,2,4.2,1.6,1.2,1.1,0.5,1.6,2.9
8,7.56,Fredrik Midtsjø AZ Alkmaar,28, M(CR),22(1),1926,-,4,0.8,1.9,3.1,1.4,-,1.2,1.2
9,7.52,Steven Bergwijn PSV Eindhoven,24, AM(CLR),16,1336,5,10,2.3,2.8,2.5,1.4,0.1,1.9,3.8
10,7.52,Quincy Promes Ajax,29, M(CLR),18(2),1500,12,4,2.8,2.2,1.0,0.4,0.4,1.8,1.7
11,7.45,Gyrano Kerk FC Utrecht,25, AM(LR),24,2070,10,7,2.1,1.4,3.0,1.2,0.4,2.6,3.2
12,7.43,Teun Koopmeiners AZ Alkmaar,23, D(C),25,2217,11,2,1.4,1.1,1.2,0.8,-,1.0,1.0
13,7.43,Joël Veltman Ajax,29, D(CR),19,1651,-,-,0.8,0.5,0.5,1.0,-,0.2,0.4
14,7.41,Lisandro Martínez Ajax,23, D(CL),24,2033,2,1,1.9,0.6,1.3,0.8,0.1,1.2,1.3
15,7.41,Donny van de Beek Ajax,24, M(C),22(1),1916,8,5,1.9,1.8,1.0,0.7,0.2,1.0,1.4
16,7.4,Chidera Ejuke SC Heerenveen,23, AM(LR),24(1),2062,9,4,2.4,1.6,4.1,1.3,0.3,1.9,3.2
17,7.38,Calvin Stengs AZ Alkmaar,22, AM(CR),24(1),2158,5,7,2.5,2.4,2.4,0.8,0.1,2.2,3.3
18,7.37,Adam Maher FC Utrecht,28, M(CR),22(1),1926,3,5,1.6,1.6,1.1,1.7,-,1.0,1.3
19,7.36,Bryan Linssen Vitesse,31, AM(CLR),25,2128,14,5,3.7,1.0,0.5,0.5,0.2,0.8,1.7
20,7.35,Tyrell Malacia Feyenoord,22, D(L),12,1080,-,3,0.4,1.2,1.8,1,0.2,0.8,2.1
21,7.35,Fernando Lewis Willem II,28, D(CR),3,270,-,1,0.7,0.3,-,1.7,-,0.3,1.7
22,7.33,Abdou Harroui Sparta Rotterdam,23, DMC,26,2148,4,8,1.9,1.1,2.4,1.2,0.1,1.9,3.0
23,7.32,Oussama Tannane Vitesse,27, AM(CLR),16(1),1347,5,4,2.4,2.4,1.9,2.5,0.1,1.6,2.1
24,7.32,Kerim Frei FC Emmen,27, AM(LR),4,316,1,-,2.0,0.5,4.8,3.5,0.8,1.3,1.0
25,7.31,Ridgeciano Haps Feyenoord,28, D(L),15(1),1340,2,2,1.1,0.8,2,2.8,-,1.1,1.8
26,7.3,Vyacheslav Karavaev Vitesse,26, D(LR),5,450,1,1,0.6,1.6,0.2,-,-,-,0.4
27,7.3,Nicolás Tagliafico Ajax,29, D(CL),23(1),2054,3,4,1.6,1.0,0.4,1.8,0.1,0.6,1.0
28,7.28,Mohamed Ihattaren PSV Eindhoven,19, AM(CLR),20(2),1783,3,4,2.7,2.1,2.8,1,-,1.7,2.1
29,7.28,Owen Wijndal AZ Alkmaar,21, D(L),24,2107,1,6,1.2,1.6,0.9,0.4,-,0.6,1.1
30,7.27,Nikolai Laursen FC Emmen,23, AM(R),16(2),1386,4,2,2,1.8,3.5,1.4,0.2,1.2,1.9
31,7.26,Sergio Peña FC Emmen,26, AM(CL),22(1),1961,4,3,2.3,2.7,2.4,1.5,0.1,2.0,2.4
32,7.26,Denzel Dumfries PSV Eindhoven,25, D(R),25,2242,7,2,1.8,1.2,1.1,1.5,0.2,1.4,1.6
33,7.25,Thulani Serero Vitesse,31, DMC,2(1),216,-,-,-,-,0.3,2.0,-,1.3,1.0
34,7.25,Vangelis Pavlidis Willem II,22, AM(L),25,2178,11,2,2.8,1,1.4,1.7,0.4,2.6,3.5
35,7.23,Joel Latibeaudiere Twente,21, D(CR),5,441,1,1,0.8,1.4,0.2,1.2,-,0.4,1.4
36,7.23,Joey Veerman SC Heerenveen,22, M(CL),20(2),1767,4,5,1.8,2.5,1.5,1.0,-,0.8,1.1
37,7.22,Halil Dervisoglu Sparta Rotterdam,21, FW,15(2),1233,5,3,1.7,1.5,3.6,1.2,0.2,2.4,3.9
38,7.21,Mauro Júnior Heracles,22, M(CLR),24(2),2160,6,6,2,1.7,1.9,1.3,0.1,2.9,2.5
39,7.21,David Neres Ajax,24, AM(CLR),7(5),635,6,1,1.6,1,1.5,0.7,0.2,1.3,1.7
40,7.2,Jonas Svensson AZ Alkmaar,28, D(R),23,2023,1,5,0.5,1.3,0.5,1.6,-,0.7,0.5
41,7.2,Daley Blind Ajax,31, D(CL),19(1),1745,-,1,1.0,0.9,1.3,0.9,-,1.2,0.8
42,7.19,Myron Boadu AZ Alkmaar,20, FW,24,2020,14,6,2.5,1.1,1.0,1.3,0.5,1.9,3.5
43,7.17,Deyovaisio Zeefuik FC Groningen,23, D(R),26,2296,-,2,0.3,1.1,1.6,1.2,0.1,0.6,1.2
44,7.17,Gustavo Hamer PEC Zwolle,24, D(R),25,2180,4,6,2.0,1.9,1.0,0.6,0.1,0.6,1.2
45,7.17,Orestis Kiomourtzoglou Heracles,23, DMC,24,2116,2,-,1.1,0.3,0.7,1.5,-,0.7,1.2
46,7.16,Sven Botman SC Heerenveen,21, D(C),26,2340,2,4,0.9,0.4,0.1,0.5,0.1,0.2,0.8
47,7.16,Mark Diemers Fortuna Sittard,28, M(CL),26,2326,7,4,2.7,2.3,1.7,3.3,0.2,2.1,2.9
48,7.13,Aitor Cantalapiedra Twente,25, AM(R),21,1824,7,4,2.8,1.6,1.6,2.7,0.2,1.7,3.1
49,7.13,Cody Gakpo PSV Eindhoven,22, AM(CL),14(11),1458,7,6,1.5,1.8,1.4,0.6,0.2,1.7,1.9
50,7.13,Cyriel Dessers Heracles,26, FW,26,2312,15,5,3.2,1.2,1.6,0.5,1.2,2.4,3.5
51,7.12,Mats Köhlert Willem II,23, AM(L),26,2179,6,4,1.3,1.5,1.6,1.5,0.2,1.6,2.3
52,7.12,Mitchell van Bergen SC Heerenveen,22, AM(LR),25,2238,5,4,2.5,2.0,2.0,0.4,0.4,0.6,2.2
53,7.12,Pol Llonch Willem II,29, DMC,24,2097,2,-,0.6,0.5,0.5,1.5,-,1.0,0.9
54,7.11,Amadou Ciss Fortuna Sittard,22, AM(L),22,1893,6,3,1.3,1.2,0.9,1.4,0.4,1.5,3.4
55,7.11,Max Clark Vitesse,25, D(L),22(1),1970,1,3,0.8,1.5,0.3,0.6,-,0.8,1.1
56,7.11,Simon Gustafson FC Utrecht,26, AM(C),23,2050,6,5,1.6,2.3,1.0,1.7,-,0.8,1.4
