,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
0,7.83,Gonçalo Ramos Benfica,20, Forward,0(1),5,2,-,2.0,-,-,-,-,-,-
1,7.82,Bruno Fernandes Sporting,27, M(CLR),17,1530,8,7,3.5,3.7,1.8,2.6,0.4,2.1,2.5
2,7.61,Pizzi Benfica,32, M(CLR),33(1),2827,18,14,2.4,2.9,1.2,1.7,0.7,1,1.7
3,7.45,Otávio Porto,26, AM(CLR),29(2),2581,2,9,1.0,1.8,2.1,2.3,-,1.3,1.4
4,7.42,Alejandro Grimaldo Benfica,26, D(L),26,2301,-,6,1.2,2.2,1.3,0.8,0.2,0.5,1.4
5,7.39,Jesús Corona Porto,28, D(R),33,2793,4,11,0.8,1.8,2.1,1.9,0.1,1.5,2
6,7.38,Marcus Edwards Vitoria de Guimaraes,22, AM(LR),23(3),2125,7,5,1.7,1.4,3.4,2.7,0.2,1.7,2.3
7,7.37,Alex Telles Porto,28, D(L),28(3),2558,11,8,1.3,1.8,0.6,0.8,0.1,0.4,0.6
8,7.32,Bruno Tabata Portimonense,24, AM(CLR),23(3),2130,1,8,1.3,2.3,2.4,2.8,0.2,1.8,2.6
9,7.3,Gabriel Pires Benfica,28, M(C),19(3),1633,2,2,1.2,0.8,1.2,1.7,-,1.2,1.2
10,7.28,Trincão Braga,21, AM(CR),17(10),1606,8,6,1.7,1.3,2.3,1.4,0.1,0.9,2.7
11,7.28,Sérgio Oliveira Porto,29, DMC,14(6),1306,3,4,1.6,1.8,1.0,1.3,-,0.7,0.9
12,7.27,Paulinho Braga,29, FW,27(2),2315,17,7,3.1,1.2,0.5,1.4,0.7,1,1.3
13,7.26,Iván Marcano Porto,34, D(CL),23,2100,5,1,1.2,0.3,0.1,0.3,-,-,0.2
14,7.25,Nuno Mendes Sporting,19, D(L),7(2),657,-,-,0.6,1.3,2.0,1.2,0.1,1.4,1.6
15,7.25,Nuno Sequeira Braga,31, D(CL),24(1),2028,-,4,0.4,2.2,1.2,2.0,0.1,0.7,1.1
16,7.24,Willyan Portimonense,26, D(C),16,1383,3,-,0.7,0.2,0.3,1.8,0.1,0.1,0.5
17,7.21,Fábio Martins Famalicao,28, AM(CLR),29,2476,12,5,2.4,1.6,1.1,2.6,0.1,1.2,1.9
18,7.2,Moussa Marega Porto,30, AM(LR),27(2),2316,12,5,2.0,1.2,0.7,1.7,0.6,1.8,2.9
19,7.19,Florentino Benfica,22, M(C),8(2),746,-,-,0.3,0.6,0.3,0.7,-,0.5,0.4
20,7.18,Mile Svilar Benfica,22, GK,1,90,-,-,-,-,-,-,-,-,-
21,7.17,Jovane Cabral Sporting,23, AM(CLR),10(6),1043,6,2,2.9,1.3,2.3,2.2,0.2,2,2.3
22,7.15,Edu Machado Boavista,31, D(R),1,90,-,-,2,1,1,-,-,1,2
23,7.14,Rubén Ribeiro Gil Vicente,34, M(CL),11(2),917,4,3,1.8,1.4,0.8,3.2,0.3,1.9,1.6
