,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Carlos Vela Los Angeles FC,32, M(CLR),FW,33,2906,0.7,0.3,0.4,-,0.2,0.3,-,-,8.48
1,Zlatan Ibrahimovic L.A. Galaxy,40, FW,,31,2790,0.3,0.2,1.8,0.1,0.8,0.3,0.1,-,8.0
2,Cristian Pavón L.A. Galaxy,25, AM(LR),FW,13,1155,1.2,0.7,0.4,-,0.1,1.3,-,-,7.7
3,Eduard Atuesta Los Angeles FC,24, DMC,,32,2816,2.3,1.4,1.6,-,0.7,1.5,0.3,-,7.57
4,Kacper Przybylko Philadelphia,28, FW,,25(1),2242,0.7,0.2,1.4,-,0.8,0.6,0.1,-,7.51
5,Nicolás Lodeiro Seattle,32, M(CLR),FW,32,2890,1.5,0.8,1.6,-,0.6,1.5,0.2,-,7.46
6,Alejandro Pozuelo Toronto,30, M(CR),FW,32(2),2914,0.7,0.1,1.1,-,0.1,0.5,0.1,-,7.41
7,Josef Martínez Atlanta United,28, AM(L),FW,32,2851,0.3,0.2,0.6,-,0.7,0.2,0.1,-,7.39
8,Diego Rossi Los Angeles FC,23, AM(CLR),FW,35(1),3082,0.8,0.3,0.4,-,0.4,0.9,-,-,7.38
9,Mark-Anthony Kaye Los Angeles FC,26, M(C),,27(5),2548,2.2,1.3,1.6,-,0.7,1.3,0.2,-,7.32
10,Ján Gregus Minnesota United,30, M(C),,31,2769,1.5,1.9,1.1,-,1,0.8,0.5,-,7.31
11,Carles Gil New England,28, AM(CR),,35,3145,0.7,0.4,0.5,-,0.1,1.1,-,-,7.3
12,Kei Kamara Colorado,37, AM(LR),FW,29,2542,0.6,0.3,1.3,-,1.1,0.3,0.3,1,7.3
13,Jamiro Monteiro Philadelphia,27, M(C),,24(4),2258,2.8,0.8,1.3,-,-,1.7,0.1,-,7.29
14,Diego Valeri Portland,35, AM(CLR),FW,29(3),2631,1.3,0.2,0.8,-,0.1,1.1,-,-,7.29
15,Nani Orlando City,35, M(CLR),FW,26(4),2279,0.8,0.4,0.9,-,0.3,0.6,0.1,-,7.29
16,Diego Rubio Colorado,28, AM(C),FW,25(1),2066,1.8,0.7,1.5,0.1,1,1.3,0.2,-,7.28
17,Gustavo Bou New England,31, AM(C),FW,14(1),1246,0.7,0.2,0.6,-,0.1,0.6,-,-,7.26
18,Sebastián Blanco Portland,33, AM(CLR),,29(2),2604,1.1,0.5,1.3,-,0.3,0.8,-,-,7.25
19,Jonathan dos Santos L.A. Galaxy,31, M(CR),,31,2726,3.4,1.9,1.1,0.1,0.7,2.2,0.2,-,7.24
20,Wayne Rooney DC United,36, M(CLR),FW,28(1),2427,0.2,0.2,0.7,-,0.4,0.2,0.1,-,7.24
21,Rod Fanni Montreal,39, D(CR),,3,270,0.7,4.0,-,1.3,5.7,0.3,0.7,-,7.24
22,Maximiliano Moralez New York City FC,34, AM(CLR),FW,29(1),2527,1.1,0.5,1.6,-,0.2,1.4,-,-,7.24
23,Pedro Santos Columbus,33, D(L),M(CLR),30(3),2766,2.1,0.5,1,-,0.3,1.6,-,-,7.24
