,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
0,7.86,Rodrygo Santos FC,20, AM(CLR),4,360,1,2,4,1.8,3.5,2,0.3,0.8,1
1,7.82,Giorgian de Arrascaeta Flamengo,27, AM(CLR),22(1),1829,13,14,2,2.5,2.2,2.2,-,2,2.1
2,7.55,Gabi Flamengo,25, AM(LR),29,2547,25,8,4,1,1.3,1,0.6,0.8,1.6
3,7.5,Dudu Palmeiras,29, AM(CLR),34(2),3070,9,11,2.6,2.5,2.4,3.8,0.2,1.4,2.7
4,7.47,Lucas Piton Corinthians,21, D(L),0(1),45,-,1,1,1,-,-,-,-,-
5,7.45,Alisson Gremio,28, AM(CLR),22,1738,4,6,1.8,2.5,1.2,2.4,-,1.1,0.8
6,7.44,Bruno Henrique Flamengo,30, AM(CLR),29(4),2573,21,4,3,1.2,1.4,2.2,0.3,1.8,3
7,7.37,Jean Pyerre Gremio,23, AM(C),10,813,3,2,1.9,1.3,2.2,1,-,0.9,1.5
8,7.36,Marcelo Rangel Goias,33, GK,1,90,-,-,-,-,-,1,-,-,-
9,7.35,Yeferson Soteldo Santos FC,24, AM(CL),31(1),2698,9,5,2.1,1.7,3.8,1.5,0.7,1.6,2.2
10,7.34,Walter Corinthians,33, GK,6,540,-,-,-,-,-,0.2,-,-,-
11,7.33,Dani Alves Sao Paulo,38, D(R),20,1756,2,3,1.5,3.1,1.8,2.3,0.3,1.8,1.7
12,7.33,Éverton Gremio,25, AM(CLR),23(7),2277,11,5,2.8,0.9,3.1,1.2,0.1,2.4,1.6
13,7.33,Danilo Fernandes Internacional,33, GK,4(1),394,-,-,-,-,-,-,-,-,-
14,7.31,Marcos Rocha Palmeiras,32, D(R),29(1),2615,2,3,0.5,1.8,0.7,1.4,0.1,0.4,0.5
15,7.29,Jorge Santos FC,25, D(L),28(1),2558,1,4,1.2,1,1.7,1.6,0.1,0.7,1.4
16,7.27,Víctor Cuesta Internacional,32, D(C),30(1),2712,1,1,0.6,0.3,1.4,1.3,-,0.3,0.8
17,7.26,Marco Antonio Bahia,24, Midfielder,3(3),345,1,1,1,1.5,2.2,2,0.2,0.3,1.3
18,7.24,Pedrinho Corinthians,23, AM(CR),26(2),2181,5,4,2.6,2,2.4,1.8,0.1,1.8,1.8
19,7.24,Paolo Guerrero Internacional,37, FW,23(1),2014,10,1,3.4,1.3,1,1.8,0.4,1.3,2.7
20,7.24,Lucas Veríssimo Santos FC,26, D(CR),33,2887,2,1,0.9,0.2,0.7,0.5,-,0.2,0.5
21,7.23,Nikão Athletico Paranaense,29, AM(CLR),20(3),1706,5,2,3,1.6,1.3,1.0,0.1,1.3,1.7
22,7.22,Everaldo Fluminense,27, AM(CL),2,180,-,1,1,2.5,4.5,1.5,1,0.5,1
23,7.21,Ferreira Gremio,23, AM(LR),1(3),147,1,2,1.5,0.8,2.5,1.8,-,0.3,0.3
24,7.2,Rómulo Otero Atletico MG,29, AM(LR),14(6),1273,3,1,3.6,1.5,3.3,2.7,0.2,2.2,2.2
25,7.19,Everton Ribeiro Flamengo,32, AM(CLR),27(5),2457,2,7,1.7,2.6,1.8,1.6,-,1.6,2.3
26,7.19,Jordi CS Alagoano,28, GK,28(1),2515,-,-,-,0.1,-,0.1,-,-,0.1
27,7.18,Vanderlei Santos FC,37, GK,6,540,-,-,-,-,-,0.2,-,-,-
28,7.18,Iago Internacional,24, D(L),5,450,-,1,0.6,1.8,1.4,0.4,0.2,0.8,1.4
29,7.16,David Braz Gremio,34, D(C),17(1),1568,2,2,1.1,0.3,0.2,0.2,-,0.3,0.3
30,7.16,Carlos Sánchez Santos FC,36, M(CR),27(7),2437,12,9,2.5,2.6,0.4,2.1,0.2,0.7,0.9
31,7.14,Felipe Melo Palmeiras,38, D(C),24,2046,3,1,1.2,0.5,0.7,1.4,-,0.6,0.5
32,7.14,Jair Atletico MG,27, DMC,10(3),822,2,-,0.7,0.5,1.1,2.2,-,0.5,0.8
33,7.14,Antony Sao Paulo,21, AM(R),27(2),2383,4,6,2.2,1.3,2.4,2.8,-,1,2.5
34,7.14,Gustavo Gómez Palmeiras,28, D(C),22,1954,3,-,0.7,0.3,0.1,0.5,0.1,-,-
