,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Rodrygo Santos FC,20, AM(CLR),,4,360,2,1.8,33.5,82.8,0.3,2.3,-,7.86
1,Giorgian de Arrascaeta Flamengo,27, AM(CLR),FW,22(1),1829,14,2.5,43.4,77.9,0.9,2,0.3,7.82
2,Gabi Flamengo,25, AM(LR),FW,29,2547,8,1,25.0,80.6,0.2,0.8,-,7.55
3,Dudu Palmeiras,29, AM(CLR),FW,34(2),3070,11,2.5,27.8,78.4,1.9,1.1,0.1,7.5
4,Lucas Piton Corinthians,21, D(L),,0(1),45,1,1,26.0,84.6,1,-,-,7.47
5,Alisson Gremio,28, AM(CLR),,22,1738,6,2.5,43.0,85.7,1.7,1,-,7.45
6,Bruno Henrique Flamengo,30, AM(CLR),FW,29(4),2573,4,1.2,22.1,75.5,0.1,0.3,0.1,7.44
7,Jean Pyerre Gremio,23, AM(C),,10,813,2,1.3,64.4,92.4,1.1,4.2,0.4,7.37
8,Marcelo Rangel Goias,33, GK,,1,90,-,-,12.0,75.0,-,5,-,7.36
9,Yeferson Soteldo Santos FC,24, AM(CL),FW,31(1),2698,5,1.7,22.0,77.1,0.4,0.6,-,7.35
10,Walter Corinthians,33, GK,,6,540,-,-,28.7,68.0,-,6.5,-,7.34
11,Dani Alves Sao Paulo,38, D(R),M(CR),20,1756,3,3.1,65.4,83.6,2.5,2.2,0.1,7.33
12,Éverton Gremio,25, AM(CLR),FW,23(7),2277,5,0.9,26.4,82.4,0.2,0.9,0.1,7.33
13,Danilo Fernandes Internacional,33, GK,,4(1),394,-,-,17.8,61.8,-,3.4,-,7.33
14,Marcos Rocha Palmeiras,32, D(R),M(R),29(1),2615,3,1.8,46.6,76.2,0.7,4.4,-,7.31
15,Jorge Santos FC,25, D(L),M(L),28(1),2558,4,1,38.6,80.4,0.3,1.4,-,7.29
16,Víctor Cuesta Internacional,32, D(C),,30(1),2712,1,0.3,47.3,86.3,0.1,3.3,-,7.27
17,Marco Antonio Bahia,24, Midfielder,,3(3),345,1,1.5,19.7,80.5,1.5,1.3,0.2,7.26
18,Pedrinho Corinthians,23, AM(CR),,26(2),2181,4,2,36.1,83.4,0.8,1.3,-,7.24
19,Paolo Guerrero Internacional,37, FW,,23(1),2014,1,1.3,25.5,75.5,-,0.4,0.1,7.24
20,Lucas Veríssimo Santos FC,26, D(CR),,33,2887,1,0.2,62.5,86.7,-,1.8,-,7.24
21,Nikão Athletico Paranaense,29, AM(CLR),FW,20(3),1706,2,1.6,33.4,83.9,1,3.0,-,7.23
22,Everaldo Fluminense,27, AM(CL),,2,180,1,2.5,39.5,89.9,1,0.5,-,7.22
23,Ferreira Gremio,23, AM(LR),,1(3),147,2,0.8,11.0,81.8,0.3,0.5,-,7.21
24,Rómulo Otero Atletico MG,29, AM(LR),,14(6),1273,1,1.5,19.6,79.1,1.2,0.5,-,7.2
25,Everton Ribeiro Flamengo,32, AM(CLR),,27(5),2457,7,2.6,45.1,82.0,1.2,1.0,0.1,7.19
26,Jordi CS Alagoano,28, GK,,28(1),2515,-,0.1,22.1,50.5,-,5.7,-,7.19
27,Vanderlei Santos FC,37, GK,,6,540,-,-,22.5,71.1,-,3.8,-,7.18
28,Iago Internacional,24, D(L),M(L),5,450,1,1.8,46.4,80.2,0.6,1.8,0.2,7.18
29,David Braz Gremio,34, D(C),,17(1),1568,2,0.3,56.8,87.9,-,2.9,-,7.16
30,Carlos Sánchez Santos FC,36, M(CR),,27(7),2437,9,2.6,30.7,74.1,1.6,2.7,-,7.16
31,Felipe Melo Palmeiras,38, D(C),M(C),24,2046,1,0.5,43.5,87.1,-,3.8,-,7.14
32,Jair Atletico MG,27, DMC,,10(3),822,-,0.5,37.6,89.8,0.1,2.2,0.1,7.14
33,Antony Sao Paulo,21, AM(R),,27(2),2383,6,1.3,44.2,83.7,0.3,0.9,-,7.14
34,Gustavo Gómez Palmeiras,28, D(C),,22,1954,-,0.3,41.1,87.1,-,1.6,-,7.14
35,Deyverson Palmeiras,30, FW,,21(3),1778,2,1.1,15.6,59.1,0.1,0.2,-,7.13
36,João Ricardo Chapecoense AF,33, GK,,13,1170,-,-,25.7,58.7,-,8.2,-,7.13
37,Bruno Guimarães Athletico Paranaense,24, DMC,,23(2),1965,1,1.8,64.8,88.4,0.4,5.5,0.3,7.13
38,Luciano Fluminense,28, AM(CR),FW,6,520,1,1.7,51.8,90.4,-,2.2,-,7.13
39,Madson Athletico Paranaense,29, D(R),M(R),26(1),2343,1,1.1,35.4,79.7,1.6,1.2,-,7.12
40,Artur Bahia,23, AM(LR),,32,2828,3,1.9,29.6,76.4,1.4,1.1,0.1,7.12
41,Vitor Gabriel Flamengo,21, Forward,,0(1),45,1,1.0,6.0,83.3,-,-,-,7.11
42,Rodrigo Moledo Internacional,34, D(C),,16(1),1308,-,0.1,35.1,85.1,-,1.4,-,7.1
43,Fagner Corinthians,32, D(R),,28(2),2559,3,1.6,45.4,79.5,1.2,1.9,-,7.1
